content,score,label
aplikasi nya sangat membatu anak saya belajar,5,Positif
bantu banget buat belajar,5,Positif
sippp,5,Positif
bagus bgttttyyyttt,5,Positif
"baguss banget, tapi kenapa pekerjanya yang agak gimana gitu ya malah serasa ada konflik internal",5,Positif
"aplikasinya sangat membantu untuk memahami materi di sekolah yg saya kurang mengerti, menjadi lebih paham karena vidio penjelasannya sangat mudah dimengerti and enjoyable. thanks a lot ruangguru 💯🙂‍↕️",5,Positif
"aplikasi nya bagus banget, membantu aku belajar",5,Positif
"menbantu saya,karna bisa mengajarkan pelajaran dengan keseruan saran saya untuk kelas bawah kelas 1-6 tambahkan pelajaran lagi",5,Positif
"ini apknya kereeeennn bgtt plss ,belajar jadi makin seruu,bisa belajar di mana pun dan kapan pun,saran dari akuu perbanyak latihan soalnya (kuis) karna ini membantu bgt ,bisa sekalian main",5,Positif
gacor,5,Positif
ya bgs,5,Positif
aplikasi sudah bagus tapi terkadang suka ngelag dan ada yang premium tapi gapapa tetep bagus kok dan sesuai dengan mata pelajaran,5,Positif
SAMPAH,1,Negatif
"beli paket mahal buat pakai fitur screenshot ada aja kendala gak bisa, bukan sekali dua kali tapi sering ga bisa",1,Negatif
"saya sudah berlangganan tapi malah hilang padahal udah bayar kurang lebih 700.000 a,komplain ke wa nya respons nya lambat",1,Negatif
apaka aku bisa jadi pintar😭😭,5,Positif
"udh bayar lumayan mahal, live teachingnya sering ngelag, ngecrash, ngebug ampun dahhhh",3,Netral
kenapa kalau nonton kadang harus ada yang kayak lawan ini terus kalo menang baru bisa nonton jadi aku selalu pengen cepet /dilewatin aja gitu ? terimakasih segitu aja kak alesannya,4,Positif
bimbel Ruangguru memberi saya nilai bagus,5,Positif
"akun saya sering eror. udah ganti hp, provider tapi tetep aja erorm saya bingung mau belajar gimanam. saya udah langganan dari tahun 2022. pas perpanjangan paket terakhir akun saya sering eror",1,Negatif
sangat bermanfaat untuk anak' yng masih bngung tentang materi',5,Positif
bagus tapi agak berbayar meski saya tidak punya duit karna masih anak sd dan tidak berani meminta kepada ortu saya jadi saya harus menabung denga uang jajan saya yang hanya 4rp sehari tapi untuk sisahnya aman aman ini juga cukup membantu terimakasih🤭,5,Positif
"saat ini saya merupakan anak kelas 12 SMA yang akan menghadapi TKA. bisa ""di TKA ini saya membutuhkan pemahaman materi yang mendalam konsep-konsep dasar supaya saya bisa mengerjakan soal-soal di TKA nanti"" saya merupakan anak yang suka belajar menggunakan VISUAL dan AUDIO. dan RUANGGURU memberikan fasilitas pengajaran sesuai dengan TIPE SAYA. -Materi (Ringkas + Jelas) setelah itu -Muncul Kuis Singkat (Yang membantu Mengingatkan saya ke materi) -Di akhir Materi ada Ulangan yang membantu sekali.",5,Positif
ruang guru sangat keren,5,Positif
luar biasa sangat membantu untuk kami para siswa good job ruang guru terimakasih telah membantuku mendapatkan nilai 100,5,Positif
ga tau kenapa mau kasih bintang Lima Aja walaupun agak bingung Cara makainya,5,Positif
bagus dan sangat membantu,5,Positif
"make Aplikasi ini buat nyari materi yang disuruh guru, tapi semenjak gw daftar di aplikasi ruang guru make nomor hp, gw sering ditelpon oleh nomor tidak dikenal, sebelumnya gak pernah, gak amanah nyimpen data pengguna.",1,Negatif
ini aplikasi nge lag kali saya belum ngerjain post tes tb tb udh terkumpul trs nilai saya jd 0 nnti rapot ruangguru saya jelek😡,5,Positif
bgus sekali.saya suka belajar diruang guru,5,Positif
"hai gyus disini aku Mau kasih tau kekalian kalo ruangguru bagus banget aku mau bilng juga kekalian aja kalo semnjk aku pake ruangguru ini aku jadi paham tentang pelajaran yang aku enggak pahamin dari pelajaran yang buat aku benci sama lemah dimata pelajaran matematika tapi sekarang aku jadi suka mata pelajaran matematika malahan jago lagi....terus juga yang asalnya aku gak bisa b.inggris sekarang udah bisa b.inggris, aku juga mau bilang mkasih ya sama ruangguru karena udh mau sabar sm q love you",5,Positif
membantu banget untuk belajar 🫶🏻👍🏻👍🏻,5,Positif
bagus gampang paham dan sesuai,4,Positif
sangat membantu dalam proses belajar dan dilatih sebagus mungkin,5,Positif
🤩🤩🤩,4,Positif
saya suka belajar di sini karena bisa memperluas ilmu belajar anak saya terima kasih ruang guru🙏,5,Positif
i like it,5,Positif
bagus banget materinya juga pas kyk yg di sekolah,5,Positif
bagus bangat tapi harus bayar tapi bagus,5,Positif
Paket berbayarnya sangat mahal.,2,Negatif
goodddfdddddfdd,5,Positif
"belum, mau coba takut nyesel gimana ya ? ada g pendapat yang lain? ini aplikasi nya online atau offline? bantu jawab ya kk 🙏",4,Positif
"bagus tapi banyak jeleknya, dari pemasarannya yang suka spam chat whatsapp udah jelek, terus sistem aplikasinya suka ngelag dan error, padahal pengguna setia rg tapi belum ada perkembangan yang memuaskan bagi pengguna, ngga semua bagian bagian dalam aplikasi bisa di gunakan sepenuhnya kaya roboguru diaku ngelag parahh jadi ngga pernah kepakai, brain academy juga suka error dari sistemnya,suka logout sendiri lagi akunnya, saat mau buka download jg gabisa klo ga ada kuota aneh. sekian terimakasih.",3,Netral
kuis nya padahal udh di isi eh ga masuk starchamp nya ga suka,1,Negatif
"tolong diperbaiki lagi ya ruang guru apknya,masak sdh langganan ttp ngeleg apknya harus sering2 refresh,klo gk gt ketinggalan pollingnya",3,Netral
baguss banget banyak video pelajaran yang bisa di lihat dan di pelajari,5,Positif
puqi aplikasi nge bud,1,Negatif
karena aplikasi ini membuat tugas saya selesai,5,Positif
"apakah ada paket belajar yang lebih murah lagi, soal ny semua paket nya kemahalan",3,Netral
menurut saayaa aplikasi Ruangguru sangat bagus dapat membantu saat ada pelajaran yang suasah,5,Positif
"bagus banget aplikasi nyaaa! aku bisa jadi lebih semangat belajar lagii meski di aplikasi, pokoknya love love dehh buat ruang guru!",5,Positif
aplikasi ruangguru sangat menolong saya dalam pembelajaran,5,Positif
"kecewa, aku langganan untuk tka tpi ga bisa ikut tryout tka nya. pop up nya delalu muncul, tapi setiap di buka selalu ga muncul opsi to tka nya. aku kira emg ga bisa jadi aku belajar biasa aja, cuma pas aku mau cari soal tka di google eh malah muncul opsi dari rg dan pas aku buka ternyata to nya masih ada tpi sayang bangeg aku baru liat pas 20 menit sebelum waktu to selesai jd aku ga bisa apa2 lagi. sumpah, 2 minggu aku bolak balik buat nyoba tpi bnrn sampe akhir pun ga muncul, sedih bangett☹️",1,Negatif
"sering sekali tidak bisa masuk ke aplikasi nya ,padahal udah berlangganan dan bayar cukup mahal",1,Negatif
"aplikasi nya bagus banget..aku suka... aku waktu kelas 2, kelas 3, suka bgt belajar pakai aplikasi ini, sekarang juga... THANKS YOU ruangguru🩵",5,Positif
"setelah pakai Ruang guru semua mapel jadi mudah contoh ni MTK dulu aku gak paham contoh materi bunga dulu aku bingung pas mau masukin angka tapi setelah Join ruang guru aku udah paham semua nya dari rumus, pengertian dan jenis jenis bunga Dan yg paling menarik adalah video penjelasan yang sangat keren dan gak bikin bosen master teacher nya njelasin bikin paham ruangguruisthebest#",5,Positif
gacor kang semoga TKA gua 90 semua,5,Positif
"aplikasi ini luar biasa membuat akunnya juga enggak terlalu sulit dan aku sudah coba di aplikasi ini bisa juga seken mata pelajaran apapun yang kalian mau nah pasti da tinggal pencet ""telusuri apa yang anda mau pelajari"". nah itu saja dari aku agus putra. om shatih-shantih om🙏☺",5,Positif
gimana jadi pinter org mau belajar aja harus bayar,1,Negatif
gabisa login udah milih kelas tp malah keluar dri apk pdhal sinyal bgs udh brpa kali download gitu² trs,1,Negatif
"sangat membantu, untuk ngedrill soal apalagi mau TKA dan snbt bank soal solusinya",5,Positif
Mau langganan tapi kok 500rb tapi di lihat dari linknya aja mulai 30rb eh setelah di pencet linknya malah gak ada 30rb,1,Negatif
Kenapa aplikasi nya tiba tiba terlogout sendiri dan tidak bisa masuk login. Tulisan nya mohon maaf sedang terjadi kesalahan pada sistem.,3,Netral
untuk penjelasan uraiannya sangat jelas,5,Positif
mudah d pahami,5,Positif
kenapa habis instal apk ruang guru tapi ga bisa di bukak katanya lagi mogok? itu gimana yaa...biar bisa di gunakan aplikasinya?,5,Positif
bagus dan semoga ruang guru bisa bantu aku belajar dan dapetin skor maksimal di UTBK/SNBT 2026 nanti.,5,Positif
"betah banget belajar di ruang guru, cocok buat kalian yang mau belajar dari dasar tapi dengan rentang waktu singkat, aku yang awalnya ga paham apa-apa, jadi bener-bener paham, terimakasih ruang guru, sukses terussss, InsyaAllah bermanfaat untuk aku dan orang banyak 🫶🏻🫶🏻",5,Positif
"ini membuat saya mengetahui apa yang belum saya ketahui, penjelasan nya juga sangat mudah di pahami",5,Positif
spam,1,Negatif
seru asik Pokok nya the best lah!,4,Positif
"bimbingan belajar nya enak, tapi banyak yang bayar",4,Positif
"aplikasi macam apa ini, masa setiap beberapa hari harus login ulang dan saat nonton video nya kok ngeleg padahal sinyal bagus udah langganan tapi masih kek gitu☹️👎",1,Negatif
karena ada Ruangguru Belajar jadi lebih menyenangkan🤩,5,Positif
aplikasi bagus dan membikin kita semakin lebih pintar lagi,5,Positif
aplikasi yang bagus dan cocok buat anak-anak belajar. Terimakasih sudah membuat aplikasi yang bermanfaat ini dan semoga segala bug yang ada di aplikasi bisa diperbaiki 🙂,5,Positif
"apk ini sangat membantu anak saya, dulu anak saya tinggal kls terus, semenjak kenal ruang guru anak saya langsung pintar",5,Positif
aplikasi ini bagusususuussuusus banget belajar jadi lebih muda,5,Positif
gpp bagus aja,5,Positif
"Halo kakak"" semuanya,aku mau bilang.. RUANGGURU ini emang aplikasi the best buat belajar deh,aku suka banget penjelasannya itu mudah bgt di pahami,dan cara mengajar guru-guru nya sangat menarik... 🤩🤩🤩",5,Positif
KEBANYAKAN FITUR GIMIK BIKIN BERAT.,1,Negatif
"sangat membantu siswa, aplikasi yg memudahkan untuk belajar, belajar bisa dimana aja tanpa perlu buka buku",5,Positif
"sangat baik dan membantu untuk belajar juga materi mudah dipahami dengan visualisasi yang baik.Namun saya berharap pihak ruangguru bisa memperlengkap isi catatan suatu materi.Bila mungkin, disediakan dua versi catatan, yaitu ringkas dan lengkap terimakasih",5,Positif
ruangguru ini kenapa lagi aku dah ada akun kok tiba tiba disuruh masuk ulang. gimana ini woi ruangguru udah banyak pula bug nya,1,Negatif
bagus untuk belajar,5,Positif
Ini memudahkan aku buat belajar aljabar,4,Positif
Sangat membantu belajar,5,Positif
sudah jawab bener tapi disalihin😡😡😡😡apk aku mau nangis😭😭😭😭 tolong perbikin😭😭😭😭😭😭😭😭😭😭😭😭😡,1,Negatif
ga bisa di liat nih vidio nya gimanaaaaaaa?,1,Negatif
karena Ruangguru saya jago matematika,5,Positif
suka bangettt soalnya ggr ini nilaiku naikkkk,5,Positif
aplikasi brlajar terbaik,5,Positif
asikk bgttt,5,Positif
"aplikasinya helpful bangett, paling suka fitur rangkuman, fitur pembagian video,fitur pencari materi,roboguru. krn memudahkan buat nyari materi yg diinginkan di waktu terbatas. (waktu mendekati ujian) . drill soalnya juga membantu, tp kadang kadang, ada bbrp soal yg muncul berulang. saran utk vid pembelajaran kasi subtitle otomatis,biar pas keadaannya ga memungkinkan,ttp bisa pahami isi video. kl bisa khusus yg udh langganan tlg jgn terlalu dksh banyak pop up iklan,sedikit disturbing.",5,Positif
"ribet,banyak paketan,dah ada akun malah tdk bisa di gunakan,anehni apk",1,Negatif
"Aplikasi nya keren, karna ada beberapa vidio yang free atau ga berbayar 🗿👍",5,Positif
bisa jadi pintar dalam waktu singkat,5,Positif
wow cuma ruangguru yang bisa kerjain soal bahasa lontara Bugis ku aku suka,5,Positif
wow,5,Positif
"semenjak ada fitur TKA saya ga mau pake ruang guru lagi karna ga masuk di otak, temen saya sampe mengidap penyakit PTSD dan trauma berat semenjak ada fitur TKA",1,Negatif
"materi nya lengkap dan sangat mudah di pahami, harga untuk bimbel nya juga lumayan murah",5,Positif
appsnya bagus,5,Positif
love this app,5,Positif
"rg tolong adain fitur histori dan apa aja yang di like atau bahkan fitur simpan, biar kita engga bingung kalo mau nyari vidio yang belum paham atau ketinggalan, jujur ini bikin susah belajar karena kita harus ubek ubek dulu vidio kemaren tuh ada dimana dan kadang akhirnya pun ga ketemu. pdhl vidionya penting banget tp krna suatu hal harus di lanjut besok eh malah ilangg susahhhh boss qq",4,Positif
"ini sebenarnya kenapa ya min? jaringan bagus, internet lancar, tapi kok aplikasi nya gak bisa di buka ya min? padahal udah di perbarui loh min aplikasi nya...mohon segera di tindaklanjuti untuk solusi nya",1,Negatif
sangat the best😍🥳🥳,5,Positif
"pelayanan nya jelek banget.sudah berlanganan sejak lama, saya bertanya tentang dimana konsultasi tapi di oper oper dan tidak kunjung ada jawaban. kecewa sama ruangguru",1,Negatif
"Sudah bayar sesuai arahan admin, tiba-tiba dikatakan ada kesalahan dan harus refund. Kalian yang salah, tapi minta saya urus refund yang MENYULITKAN siswa. Refund cair lama, dan LMS saya di block?? MENYUSAHKAN sekali ya. Kapok dan tidak akan pernah pakai jasa kalian.",1,Negatif
lumayan bagus,5,Positif
tolong dibuat yang tanpa berlangganan ya kak,4,Positif
bagus dan mudah di pahami 😻,5,Positif
lop,5,Positif
agak ribet dan harus bayar,3,Netral
"semenjak ada airis jadi jelek, pisah in napa sama chat tutor pembahasan airis juga susah dipahami",1,Negatif
bagus dan gratis jugaa,5,Positif
AAAAAAAAA AKUH ga terlaku sukaaa TAPIIII BAGUSS BGT BUAT BELAJAR!! DAN SERUU,5,Positif
"RG ini aplikasi bagus tapi kenapa ya akhir akhir ini updatenya sering banget dan malah jadi makin jelek. contohnya sekarang kalau drill soal gabisa lebih dari 10 per bab, dan yang paling aneh kita jadi gabisa pilih sub bab di dril soal padahal sebelumnya bisa. mohon segera diperbaiki ya agar kami sebagai pengguna lebih nyaman belajarnya",4,Positif
"kak, tolong yah ini aplikasi belajarnya bagus sih, tapi pembelian sama berlangganannya bisa tidak di kurangi, kasian yang mau belajar online supaya cepat paham, tapi harus di suruh berbayar kak ,( mahal banget pils😭!",5,Positif
APLIKASI TDK BS DIBUKAAA,1,Negatif
"suka force close, banyak lag",2,Negatif
"suka banget dengan aplikasi ini, di sini kita bisa latihan soal dan tanya jawab soal yang kita ketahui dan tidak ketahui. sebelum kalian daftar brain academy sebaiknya unduh aplikasi ruang guru dulu biar dapat potongan harga bimbel lebih murah. di sini paket soalnya lengkap, dijawab dengan cepat dan tepat, aku pakai aplikasi ini untuk penggunaan pribadi dan keperluan bimbel karena aku bimbel di brain academy",5,Positif
keren😻,1,Negatif
Karena penting,5,Positif
aplikasi sering eror,3,Netral
woi kunci jawabannya salah Mulu,1,Negatif
aplikasi nya udah bagus walau ngeleg sedikit tapi tolong dong yang SMK ada jurusan teknik GEOMATIKA /GEOSPASIAL 🙏,5,Positif
"pas buka aplikasinya suka keluar terus, padahal jaringan, penyimpangan oke terus, udah update juga. Gatau ini kenapa, tapi bikin ganggu banget kalau mau dipake, tolong dong dibantu",2,Negatif
gak bisa dibuka,1,Negatif
walau harus berlangganan tapi ilmu nya mudah dimengerti dan bisa bertambah IQ dalam belajar. terimakasih ruangguru,5,Positif
Ketauan banget sih pake ai soalnya banyak jawaban yang tidak sesuai dengan materi yang diberikan dan soal yang jelas jelas salah kecewa berat sih bayar udah mahal mahal loh,1,Negatif
"saya mendapatkan nilai yang bagus sejak saya belajar di RUANG GURU ,pelajar indonesia wajib punya RUANG GURU karna RUANG GURU membantu anak anak belajar.👍👍👍",5,Positif
"anak saya nangis krn si Harry the tigernya sampe sekarang ga ke update. udah lapor tp ribet bgt suruh record stepnya. pdhl yg bikin semangat dia belajar krn Harry. mau nyelesain misi jg ga bisa, padahal udh difoto atau isi manual aktivitas 3 nya. ini mau sign out jg kaga bisa dibilangnya tdk ada akses internet. ya klo g ada, g bakalan sya bs kasih rating ke sini",1,Negatif
materi kurang lengkap,4,Positif
"good, easy to understand and really helps me at the moment",5,Positif
membantu anak belajar hal hal yg blm di ketahuinya,5,Positif
bagus sih membantu buat belajar,5,Positif
"min kenapa ruangguru saya jadi gini, jadi di setiap saya masuk ruangguru selalu ngebug gabisa dan setelah itu saya selalu mendapatkan notifikasi "" terdeteksi aplikasi ruang guru mogok karena masalahnya sendiri. Harap tunggu pembaruan untuk memperbaiki masalah, atau kirimkan umpan balik melalui saluran layanan pelanggan dalam aplikasi "" ini gimanaa minn",1,Negatif
"Walaupun saya masih kelas 5 tapi saya jadi bisa pelajaran ibu saya deh udah saya pelajari semua pokoknya membuat pinter deh, Thankyouu ruangguru ujian saya jadi 100 matematikanya yang dulu nilainya 24, 37, 57, dan 79 jadi 100 semua!!!!",5,Positif
"aplikasi ini sangat bagus,berkat aplikasi ini aku jadi paham tentang mata pelajaran yang aku kurang mengerti dari video-video yang menjelaskan nya dari aplikasi🤩",5,Positif
yah aku ingin belajar selengkapanya plis jangan bayar dong,1,Negatif
masih banyak bug tolong perbaiki lagi,2,Negatif
"Langganan ruang guru dari kelas 10, sekarang aku udah jalan smt 1 ilmu komunikasi UGM. Thanks a lot ruangguru udah nemenin aku belajar selama 3 tahun, latsolnya bikin aku terbiasa sama soal soal di utul. Makasih banyak ruangguru 🌹🌹🌹🌹🌹",5,Positif
"kenapa kok akhir2 ini aplikasi gak bisa dibuka force close dan stuck di logo, trs waktu drill soal kalau teksnya panjang discroll kebawah sering nge bug, pliss solusi nya gimnaa soalnya aku g bisa belajaarrrr🥹😭",1,Negatif
"sangat berguna buat belajar, cuman tolong bug nya diperbaiki min. masa aku lagi offline gak punya kuota malah gak bisa buka video yang udah di-download? katanya gak ada internet, bukannya kalo udah di download bisa dibuka tanpa internet? kadang layarnya juga stuck seperti aplikasi yg sangat berat, padahal hp ku bisa menjalankan game berat.",4,Positif
"gabisa dibuka terus wkwkwk, apk segede ini maintenance jelek bgt",1,Negatif
"menurut saya udah bagus cuman, cara nawarin paket belajarnya terlalu over sih di chat berkali"" dengan nomor yang beda. trs saya mau nanya min ini ngga ada mentoring atau konsultasi, dikasih tau cara biar bisa mencapai target (ptn). soalnya saya liat di bimbel online yang lain ada yang seperti itu dan saya kira di sini juga ada tapi sampai sekarang cuman di masukin grup doang.",4,Positif
bagus banget vidionya menggunakan kata kata sopan pelanyananya bagus dan sabar melayani orang orang yang suka bertanya seperti saya juga belajar di sini seruuu menurut ku layak bintang 🌟🌟🌟🌟🌟 limaa terimakasih,5,Positif
bagus sama seru,5,Positif
aplikasinya membantu banget buat kita pelajar,5,Positif
apknya bagusssss banget,5,Positif
aplikasi nya bagus untuk belajar cocok yang gak bisa matematika dan stres ujian cobain sekarang juga 😁👍🏻🤭,5,Positif
"sumpah ya, cs nya ga bgt, pernah sampe nanya hal sensitif dan ga ramah bgt. ribet gajelas padahal aplikasinya bagus tapi cs nya woww big no bgt. ini kalo bintangnya bisa mines tak hingga pun kukasi karna csnya red flag! tolong ya diperbaiki cs sombong nya itu.",1,Negatif
keren ada fitur barunya,5,Positif
"kok semua bayar, semua bayar. hanya sedikit yang geratis. apa-apa bayar apa-apa bayar. masak semua bayar, inimah seru sih seru tapi bayar, yang tadinya seru jadi gak seru",1,Negatif
aplikasi ini kenapa yahh pas aku mau di buka susah bangett mau masukk tehhh loadingnya lama padahal sinyalnya bagus,1,Negatif
saya sangat senang menggunakan fitur² belajar yang ada di ruangguru apalagi saya dari keluarga yang kurang mampu tapi tetap bisa belajar di ruangguru dng pelajaran dan vidio yang gratis saja saya memiliki cita² yang sangat besar yaaa Dejavu sih pas awal ruangguru ada dimana itu biayanya relatif murah dan sering muncul iklan ruangguru pada saat hari Minggu tapi walaupun berbayar ruangguru sekarang sangat berkembang demi mendukung SDM yang ada di Indonesia THAK YOU RUANGGURU SUKSES Terus🤍,5,Positif
"bagus, lengkap, adaptonya juga keren, tapi gak enaknya itu sekalinya mutualan sama ini apk, siap"" ajh di telfon. ini pengalaman pribadi ya. padahal niat dari awal, cuman beli paket ruangbelajar ajh itu udh cukup banget. tapi marketing rg bener"" killer deh sampe nelfon tiba"" tapi bukan pakai WA. awalnya diajak ngobrol deeptalk sampe akhirnya promosi buat upgrade ke brain academy online, kebawa suasana, endingnya duit saya habis sampe 2jt, padahal gak butuh"" banget. mana gak bisa balik lagi.",3,Netral
"kecewa banget setiap masuk ke apk ruangguru pasti langsung terkeluar padahal jaringan bagus terus aku udah hapus cache nya sama update tapi tetap kayak gitu, ini gimana min aku mau belajar:(",1,Negatif
"bagus, worth itu, terutama adaptonya. tapi gak enaknya itu sekali ajh pernah mutualan sama ini apk, mau itu berlangganan atau sekedar bikin akun doank, siap siap ajh kena telpon. aduh, pengalaman ya, ini marketingnya bener bener"" deh, padahal dari awal udh niat gak mau beli beli lagi, cukup paket ruangbelajar ajh, sampe tiba"" di telfon terus diajak ngobrol sampe ujung"" nya promosi buat upgrade ke brain academy online, yang endingnya malah jadi beli, abis deh 2jt, padahal gak butuh"" amat. aduh.",4,Positif
bagus bangett,5,Positif
ruang guru sangat membantu anak sekolah kayak saya terimakasih ruang guru 🙏😘,5,Positif
"tolonggggg jangan update terus, hampir 5 kali lebih update di aplikasi selama kurang lebih 24 jam, saya mau kuis, to, dll jadi ribet nunggu nya",1,Negatif
aplikasi bagus banget buat belajar dari hp buat saya sih menurut ku bagus banget tidak ada iklan nya,5,Positif
mantap ruang guru semoga sukses selalu 😁😁,5,Positif
bagus bangett dan juga aplikasi ini bermanfaat untuk belajar,5,Positif
"sangat membantu dalam pembelajaran,dan sangat di rekomendasikan,saya menjadi cepat mengerti dalam melakukan belajar di rumah",5,Positif
bagus banget bisa buat anak SD jadi saya semakin pintar,5,Positif
Anda dapat menjamin kompetensi akademik tanpa khawatir sekalipun ada materi yang tidak anda pahami Ruangguru akan memberikan dukungan yang terbaik untuk edukasi anda,5,Positif
"Alhamdulillah, bermanfaat Insyaallah",5,Positif
aplikasinya bagus banget dan angkat berguna apa lagi bagi aku karena aku kan banyak ikut ekskul jadi nya gak ada waktu buat les tapi karena adanya ruang guru sekarang aku udah gak perlu les lagi dan juga gak menganggu kegiatan ku di ekskul,5,Positif
laporan belajar yang selalu bermasalah,1,Negatif
sangat bagus keren fasilitas bagus dingin,5,Positif
sangat baguss untuk belajar lebih dalam lagii,5,Positif
"Terimakasih banyak ruangguru♥️ anak saya kelas 2 sekarang sudah pintar di kelasnya berkat belajar di ruangguru ♥️ dan tidak ada iklan sama sekali,jadi tidak terganggu dan seperti game tebak tebakan seru kata anak saya sekali lagi terima kasih 🙏♥️",5,Positif
sangat bagus sekali,5,Positif
Aplikasih ini sangat bagus untuk meningkatkan kemampuan kita,5,Positif
suka ngelagggg kalo mau input kuis kadang error apknya,3,Netral
bagus aku mau belajar,5,Positif
"Makasih ya ka, sudah membuat aplikasi yang begitu bagus dan sempurna",5,Positif
"aplikasi jelek, itu sales nya gr"" cuma aku cek doang ga bolehkah? ampe nelepon"" saya lagi sekolah juga ditelepon ganggu banget tau! terus bilang nanya"" harga ke orang tua, oi lu pikir mudah bilang ke ortu lamgsung di izinin gitu aja? ganggu amat hidup orang aplikasi di instal tuh bukan cman buat dipake org juga pasti cek aplikasinya bagus nggak and pasti cek"" harga dong, kalau semisal ""bilang aja ga mampu"" ydah sih ilmu tuh ga semuanya harus pake uang, belajar sendiri lebih baik!",1,Negatif
sangat membantu saya tentang materi yg belom saya pahami,5,Positif
sangat berkesan dan bagus,5,Positif
sangat membatuku buat belajar dan memahami materi yang belum paham,5,Positif
bagusss poll sihh nggak usah diragukan lagi kualitasnya dengan harga yang segitu lumayan bgtt untuk ratusan video pembelajarannya👍👍tetep semangatt untuk kakak' ruang gurunya jangan lelah berkarya kak,5,Positif
keren membantu saya dalam belajar dan meningkatkan nilai akademik saya tanpa harus keluar rumah Terimakasih Ruangguru😍,5,Positif
sangat bagus untuk belajar karna saya type orang yang lebih mengerti belajar seperti ini,5,Positif
"bagus, keren, ter motivasi, penjelasan nya mudah dipahami",5,Positif
ini sangat membuat nilai saya menjadi naik,5,Positif
keren banget ruangan guru ini,5,Positif
seru sekali di kelas,4,Positif
sangat membantu untuk memudahkan saya di bidang yang tidak saya pahami,5,Positif
"Tolong optimalkan sistemnya dong, Tka sudah mau dekat dan setiap saya mencoba buka website maupun apk tidak bisa terbuka yg sangat menghambat padahal simulasi Tka saya sudah depan mata :((",3,Netral
sangatt baguss,5,Positif
"ga jelas, mau niat belajar rupanya berbayar, hadeh, izin ngasih bintang 1 ya min",1,Negatif
bagus bantu belajar,5,Positif
BAGUS BGTTT AKU JADI BISA MTK AHAHAHAH,5,Positif
boleh,5,Positif
"bagus,untuk belajar buat siap siap lomba/ujian",5,Positif
bisa belajar lebihh luas dan bisa di pahami secara tepat,5,Positif
aplikasi nya sangat bagus karena dapat menjelaskan secara detail dan memberikan kuis agar semakin paham,5,Positif
"Tbh pelajaran nya sih enjoy aja cuman kadang ui nya masih bug gamau muncul. terus juga ada beberapa materi yang gaada di opsi kurikulum merdeka tapi ada di k13 revisi, entah belum dimasukin apa gimana. contohnya kayak gelombang berjalan dan stasioner itu ada di k13 revisi tapi gaada di kurmer jadinya saya kurang faham sama materi setelah gelombang berjalan dan stasioner dan baru ngeh kalo ada materi terlewa. tapi keren kok banyak games nya dan lumayan interaktif. nice nice",4,Positif
video macet terus,1,Negatif
sangat membantu saya dalam belajar. Aplikasi ini sangat penting bagi pelajar seperti saya,5,Positif
"minn aku kenapa selalu di telpon yaa pedahal kan aku udah hapus aplikasi nya,udah lama gak pakek tapi di telpon teruss.",1,Negatif
bagus untuk menambah ilmu pengetahuan,5,Positif
bagus sangat membantu anak belajar,5,Positif
"terkadang ketika di pembahasan angkanya itu terlallu kecil, kuharap akan disertai di update selanjutnya untuk fitur memperbesar, agar bisa melihat angka/hurus yang cukup kecil, contohnya ketika aku melihat pangkat didalam pembahasan mtk, itu terkadang susah untuk dilidilihat",4,Positif
"sy mengalami kendala dmn hri ini sy menjwb soal kuis akhir pda fitur persiapan utbk, setelah sy menjwb soal dan mengakhiri kuis, sy melihat skor sy sangat rendah sy berpikir jwbn sy slah, ketika sy melihat pembahasan soal, sy bingung krn awalnya sy memilih pilihan c dan pada pembahasan pilihan tersebut bnr, namun sy heran pilihan yang awalnya c berubah menjadi d, saya mengulangi kuis untk memastikan, namun hasilnya sama sj, sdh terjdi beberapa kli, fitur yg sdng bermslh, mhn perbaikannya🙏🏻",3,Netral
"keren banget ihh😆😆😆🤍, membantu banget dengan penjelasan yang mudah dipahami dan gambar gambar yang menarik,sukaa!!!",5,Positif
belum menggunakan aplikasi ini,1,Negatif
"bagus bangeettt app nyaa, mudah dipahami, dan banyak banget ilmu yg bisa kita dapetin di applikasi INII. Sayang banget dari dulu aku ga nyoba applikasi ini, baru sekarang2 di download karna penasaran, akhirnya udh ga penasaran lagi, meskipun baru hari pertama belajar pake app ini, tapi aku jadi tau dari yang tadinya gatau. pokoknya bermanfaat bgt ini aplikasi,ga nyesel aku download ini!! aku jadi semangat belajar,dan ak juga mau ningkatin nilai sama ranking aku, mudah2an ak bisa raih cita2ku🥰💗",5,Positif
ah aku jadi pengen jadi Champions!!!!!!!!!!!,5,Positif
kerenn bgt,5,Positif
pengalaman belajar yang baik dan seru di ruangguru makannya ayo download Ruangguru tetapi kok pelayanannya agak dibedakan antara yg bayar dan yang nggak bayar!!!!!!!!!!!!!!!!! dan saya setuju dengan komentar Thalita Zalia&family,3,Netral
Semoga bisa lolos SNBP. Amin.,5,Positif
bagus banget aplikasi ruangguru pokok nya bes banget deh,5,Positif
Provider try out yang ketiga,5,Positif
"Aplikasinya bagus dan kualitasnya tidak main². Tapi, saran saja, apa boleh tambah fitur subtittle ? Karena agak susah kalau nonton video tapi lingkungan sekitar ribut, gak bisa dengarkan suaranya 😅",5,Positif
terima kasih ruangguru,5,Positif
senang seru,5,Positif
